True (T) or No Data (C);Year;Solar Longitude;Sol;Wind Speed m/sec;Wind Direction;Pressure mb;Temp F;Temp C
T;2;53.443;528.1;1.2;70;9.05;-112.02;-80.01
T;2;53.461;528.14;1.5;98;9.05;-110.36;-79.09
T;2;53.479;528.18;1.8;114;9.05;-113.6;-80.89
T;2;53.497;528.22;2.2;93;9.05;-118.25;-83.47
T;2;53.516;528.26;2.8;118;9.05;-104.66;-75.92
T;2;53.534;528.3;3;126;9.05;-79.29;-61.83
T;2;53.552;528.34;3.6;173;9.05;-60.68;-51.49
T;2;53.57;528.38;3.9;213;9.05;-59.12;-50.62
T;2;53.588;528.42;3.3;232;9.05;-53.73;-47.63
T;2;53.606;528.46;2.8;283;9.05;-47.29;-44.05
T;2;53.624;528.5;3.2;308;9.05;-48.78;-44.88
T;2;53.642;528.54;2.8;338;9.05;-44.73;-42.63
T;2;53.66;528.58;2.9;357;9.05;-32.46;-35.81
T;2;53.678;528.62;3.2;305;9.05;-28.12;-33.4
T;2;53.697;528.66;2.7;5;8.99;-23.53;-30.85
T;2;53.715;528.7;3.3;0;8.96;-27.13;-32.85
T;2;53.733;528.74;3.1;350;8.96;-31.92;-35.51
T;2;53.751;528.78;1.8;333;8.96;-45.45;-43.03
T;2;53.769;528.82;1.5;356;8.99;-68.13;-55.63
T;2;53.787;528.86;1.3;13;9.05;-84.06;-64.48
T;2;53.805;528.9;1.3;39;9.05;-91.84;-68.8
T;2;53.823;528.94;1.1;52;9.05;-96.97;-71.65
T;2;53.841;528.98;0.9;69;9.05;-101.92;-74.4
T;2;53.859;529.02;1.2;51;9.05;-107.18;-77.32
T;2;53.878;529.06;1.6;50;9.05;-108.15;-77.86
T;2;53.896;529.1;1.8;50;9.05;-114.63;-81.46
T;2;53.914;529.14;1.8;63;9.05;-116.5;-82.5
T;2;53.932;529.18;2.6;74;9.05;-115.89;-82.16
T;2;53.95;529.22;2.6;108;9.05;-110.47;-79.15
T;2;53.968;529.26;3.3;129;9.05;-97.89;-72.16
T;2;53.986;529.3;3.5;147;9.08;-77.66;-60.92
T;2;54.004;529.34;4.2;176;9.14;-63.29;-52.94
T;2;54.022;529.38;4.9;200;9.08;-58.31;-50.17
T;2;54.04;529.42;4.5;226;9.05;-53.61;-47.56
T;2;54.058;529.46;3.6;253;9.05;-48.44;-44.69
T;2;54.077;529.5;3.1;265;9.05;-45.38;-42.99
T;2;54.095;529.54;3.4;265;9.05;-44.63;-42.57
T;2;54.113;529.58;3.2;295;9.05;-31.77;-35.43
T;2;54.131;529.62;2.9;312;9.05;-29.24;-34.02
T;2;54.149;529.66;3;323;9.01;-25.92;-32.18
T;2;54.167;529.7;3.6;339;8.96;-31.05;-35.03
T;2;54.185;529.74;3.3;347;8.96;-36.53;-38.07
T;2;54.203;529.78;1.8;341;8.96;-49.18;-45.1
T;2;54.221;529.82;0.9;342;8.96;-69.74;-56.52
T;2;54.239;529.86;0.6;338;9.03;-85.85;-65.47
T;2;54.257;529.9;0.6;333;9.05;-90.49;-68.05
T;2;54.276;529.94;0.7;14;9.05;-95.44;-70.8
T;2;54.294;529.98;0.8;108;9.05;-97.71;-72.06
T;2;54.312;530.02;0.8;108;9.05;-101.16;-73.98
T;2;54.33;530.06;0.6;146;9.05;-105.83;-76.57
T;2;54.348;530.1;0.7;101;9.05;-108.24;-77.91
T;2;54.366;530.14;1.1;75;9.05;-113.91;-81.06
T;2;54.384;530.18;1.4;78;9.05;-119.15;-83.97
T;2;54.402;530.22;2.2;114;9.05;-108.9;-78.28
T;2;54.42;530.26;2.9;134;9.05;-92.65;-69.25
T;2;54.438;530.3;3;165;9.08;-71.01;-57.23
T;2;54.456;530.34;5.7;192;9.14;-66.3;-54.61
T;2;54.475;530.38;5.7;207;9.14;-58.63;-50.35
T;2;54.493;530.42;5.3;230;9.11;-56.25;-49.03
T;2;54.511;530.46;5.1;248;9.05;-50.48;-45.82
T;2;54.529;530.5;3.9;267;9.05;-48.21;-44.56
T;2;54.547;530.54;4.1;277;9.05;-44.14;-42.3
T;2;54.565;530.58;3.6;304;9.05;-36.69;-38.16
T;2;54.583;530.62;3.4;280;9.05;-29.58;-34.21
T;2;54.601;530.66;3.7;314;9.01;-26.68;-32.6
T;2;54.619;530.7;3.2;333;8.96;-29.94;-34.41
T;2;54.637;530.74;2.6;344;8.96;-34.6;-37
T;2;54.655;530.78;1.2;345;8.96;-47.7;-44.28
T;2;54.673;530.82;0.6;329;8.96;-67.68;-55.38
T;2;54.691;530.86;0.7;333;9.05;-83.04;-63.91
T;2;54.71;530.9;0.7;333;9.05;-88.91;-67.17
T;2;54.728;530.94;0.7;22;9.05;-97.67;-72.04
T;2;54.746;530.98;0.9;69;9.05;-95.4;-70.78
T;2;54.764;531.02;1;63;9.05;-106.04;-76.69
T;2;54.782;531.06;1.3;86;9.05;-109.35;-78.53
T;2;54.8;531.1;1.5;82;9.05;-109.55;-78.64
T;2;54.818;531.14;1.3;72;9.05;-116.12;-82.29
T;2;54.836;531.18;1.5;98;9.05;-118.34;-83.52
T;2;54.854;531.22;2.2;127;9.05;-112.11;-80.06
T;2;54.872;531.26;2.9;132;9.07;-101.24;-74.02
T;2;54.89;531.3;4.3;172;9.14;-88.49;-66.94
T;2;54.908;531.34;5.4;195;9.14;-65.22;-54.01
T;2;54.927;531.38;5.3;204;9.14;-59.91;-51.06
T;2;54.945;531.42;4.8;224;9.14;-54.76;-48.2
T;2;54.963;531.46;3.6;261;9.05;-47.43;-44.13
T;2;54.981;531.5;3.3;283;9.05;-47.13;-43.96
T;2;54.999;531.54;3.3;313;9.05;-45.96;-43.31
T;2;55.017;531.58;2.5;302;9.05;-33.03;-36.13
T;2;55.035;531.62;3.1;292;9.05;-29.33;-34.07
T;2;55.053;531.66;2.9;302;8.96;-22.63;-30.35
T;2;55.071;531.7;3;314;8.96;-27.83;-33.24
T;2;55.089;531.74;3;348;8.96;-33.11;-36.17
T;2;55.107;531.78;1.6;345;8.96;-46.17;-43.43
T;2;55.125;531.82;0.7;344;8.96;-67.72;-55.4
T;2;55.143;531.86;0.6;351;9.05;-83.74;-64.3
T;2;55.161;531.9;0.8;0;9.05;-89.48;-67.49
T;2;55.18;531.94;1;58;9.05;-97.15;-71.75
T;2;55.198;531.98;1.2;66;9.05;-102.01;-74.45
T;2;55.216;532.02;1.4;69;9.05;-106.2;-76.78
T;2;55.234;532.06;1.2;81;9.05;-110.16;-78.98
T;2;55.252;532.1;1.2;72;9.05;-112.29;-80.16
T;2;55.27;532.14;1.7;69;9.05;-114.97;-81.65
T;2;55.288;532.18;2.1;99;9.05;-116.66;-82.59
T;2;55.306;532.22;1.6;117;9.05;-109.66;-78.7
T;2;55.324;532.26;2.5;117;9.05;-100.01;-73.34
T;2;55.342;532.3;3.8;146;9.11;-76.56;-60.31
T;2;55.36;532.34;4.3;177;9.14;-57.48;-49.71
T;2;55.378;532.38;3.8;211;9.11;-55.71;-48.73
T;2;55.397;532.42;3.6;235;9.05;-50.58;-45.88
T;2;55.415;532.46;3.7;255;9.05;-49.23;-45.13
T;2;55.433;532.5;3.1;299;9.05;-45.2;-42.89
T;2;55.451;532.54;2.8;331;9.05;-41.55;-40.86
T;2;55.469;532.58;2.7;337;9.05;-30.19;-34.55
T;2;55.487;532.62;2.9;355;9.05;-30.8;-34.89
T;2;55.505;532.66;2.9;322;8.96;-29.74;-34.3
T;2;55.523;532.7;2.7;0;8.96;-28.14;-33.41
T;2;55.541;532.74;2.8;358;8.96;-33.45;-36.36
T;2;55.559;532.78;1.4;352;8.96;-46.28;-43.49
T;2;55.577;532.82;0.9;342;8.96;-67.74;-55.41
T;2;55.595;532.86;1;13;9.03;-82.62;-63.68
T;2;55.613;532.9;1.3;39;9.05;-90.35;-67.97
T;2;55.631;532.94;1.5;56;9.05;-102.01;-74.45
T;2;55.649;532.98;1.3;67;9.05;-102.21;-74.56
T;2;55.667;533.02;1.7;76;9.05;-105.99;-76.66
T;2;55.686;533.06;1.5;75;9.05;-108.9;-78.28
T;2;55.704;533.1;1.5;74;9.05;-109.23;-78.46
T;2;55.722;533.14;1.9;81;9.05;-112.09;-80.05
T;2;55.74;533.18;1.7;79;9.05;-116.05;-82.25
T;2;55.758;533.22;1.9;87;9.05;-106.1;-76.72
T;2;55.776;533.26;2.4;108;9.05;-94.74;-70.41
T;2;55.794;533.3;4.7;132;9.05;-83.58;-64.21
T;2;55.812;533.34;4.8;144;9.05;-64.8;-53.78
T;2;55.83;533.38;2.8;175;9.05;-48.28;-44.6
T;2;55.848;533.42;2.5;223;9.05;-45.54;-43.08
T;2;55.866;533.46;2.2;247;9.05;-43.51;-41.95
T;2;55.884;533.5;2.9;267;9.05;-48.1;-44.5
T;2;55.902;533.54;2.8;343;9.05;-42.52;-41.4
T;2;55.92;533.58;3;351;9.05;-34.44;-36.91
T;2;55.938;533.62;2.3;307;9.05;-26.86;-32.7
T;2;55.956;533.66;3.1;299;8.96;-25.02;-31.68
T;2;55.975;533.7;3;2;8.96;-28.12;-33.4
T;2;55.993;533.74;2.9;4;8.96;-32.85;-36.03
T;2;56.011;533.78;1.2;14;8.96;-47.34;-44.08
T;2;56.029;533.82;1.1;6;8.96;-68.98;-56.1
T;2;56.047;533.86;1.5;16;9.05;-82.14;-63.41
T;2;56.065;533.9;1.7;40;9.05;-90.18;-67.88
T;2;56.083;533.94;1.1;66;9.05;-94.36;-70.2
T;2;56.101;533.98;1.1;73;9.05;-97.02;-71.68
T;2;56.119;534.02;1.6;60;9.05;-101.38;-74.1
T;2;56.137;534.06;1.4;51;9.05;-106.98;-77.21
T;2;56.155;534.1;2;84;9.05;-116.37;-82.43
T;2;56.173;534.14;1.8;83;9.05;-118.1;-83.39
T;2;56.191;534.18;1.6;60;9.05;-118.68;-83.71
T;2;56.209;534.22;2.3;69;9.05;-110.97;-79.43
T;2;56.227;534.26;4;99;9.05;-93.19;-69.55
T;2;56.245;534.3;6.1;126;9.05;-85.16;-65.09
T;2;56.263;534.34;5;143;9.07;-64.93;-53.85
T;2;56.282;534.38;3.4;186;9.05;-49.76;-45.42
T;2;56.3;534.42;3;195;9.05;-45.67;-43.15
T;2;56.318;534.46;2.5;225;9.05;-47.04;-43.91
T;2;56.336;534.5;2;319;9.05;-43.96;-42.2
T;2;56.354;534.54;2.3;274;9.05;-36.45;-38.03
T;2;56.372;534.58;2.5;302;9.05;-27.31;-32.95
T;2;56.39;534.62;1.9;32;9.05;-24.74;-31.52
T;2;56.408;534.66;2.7;5;8.96;-26.37;-32.43
T;2;56.426;534.7;2.4;43;8.96;-26.46;-32.48
T;2;56.444;534.74;2.5;20;8.96;-32.03;-35.57
T;2;56.462;534.78;1.1;20;8.96;-44.54;-42.52
T;2;56.48;534.82;1.1;29;8.96;-66.15;-54.53
T;2;56.498;534.86;1.2;31;9.05;-82.75;-63.75
T;2;56.516;534.9;0.8;82;9.05;-86.94;-66.08
T;2;56.534;534.94;1.1;79;9.05;-91.44;-68.58
T;2;56.552;534.98;1.4;65;9.05;-99.08;-72.82
T;2;56.57;535.02;1.6;67;9.05;-105.14;-76.19
T;2;56.588;535.06;1.2;70;9.05;-110.43;-79.13
T;2;56.606;535.1;1.7;83;9.05;-114.77;-81.54
T;2;56.624;535.14;1.8;77;9.05;-117.9;-83.28
T;2;56.642;535.18;2.1;79;9.05;-118.21;-83.45
T;2;56.661;535.22;3.2;92;9.05;-110.81;-79.34
T;2;56.679;535.26;4.9;116;9.05;-99.53;-73.07
T;2;56.697;535.3;6.3;129;9.08;-81.96;-63.31
T;2;56.715;535.34;4.8;147;9.14;-62.32;-52.4
T;2;56.733;535.38;3.6;177;9.08;-47.87;-44.37
T;2;56.751;535.42;3.7;203;9.05;-48.03;-44.46
T;2;56.769;535.46;3;228;9.05;-47.22;-44.01
T;2;56.787;535.5;2.9;254;9.05;-46.34;-43.52
T;2;56.805;535.54;3.1;262;9.05;-42.18;-41.21
T;2;56.823;535.58;2.7;273;9.05;-35.25;-37.36
T;2;56.841;535.62;2.6;315;9.05;-23.26;-30.7
T;2;56.859;535.66;2.2;339;9.03;-21.87;-29.93
T;2;56.877;535.7;2.1;21;8.96;-27.45;-33.03
T;2;56.895;535.74;1.3;0;8.96;-26.45;-32.47
T;2;56.913;535.78;0.9;353;8.96;-44.55;-42.53
T;2;56.931;535.82;0.7;18;9.02;-69.05;-56.14
T;2;56.949;535.86;0.7;51;9.05;-84.84;-64.91
T;2;56.967;535.9;0.9;83;9.05;-88.69;-67.05
T;2;56.985;535.94;1.3;76;9.05;-96.03;-71.13
T;2;57.003;535.98;1.5;62;9.08;-101.4;-74.11
T;2;57.021;536.02;1.2;80;9.05;-105.47;-76.37
T;2;57.039;536.06;1.6;86;9.05;-105.21;-76.23
T;2;57.057;536.1;1.8;83;9.05;-112.95;-80.53
T;2;57.076;536.14;2.3;90;9.05;-114.54;-81.41
T;2;57.094;536.18;1.9;108;9.05;-112.45;-80.25
T;2;57.112;536.22;2;108;9.05;-111.66;-79.81
T;2;57.13;536.26;3.3;116;9.05;-95.01;-70.56
T;2;57.148;536.3;4.9;137;9.11;-78.48;-61.38
T;2;57.166;536.34;4.5;159;9.14;-60.72;-51.51
T;2;57.184;536.38;3.4;192;9.05;-50.49;-45.83
T;2;57.202;536.42;2.8;209;9.05;-46.01;-43.34
T;2;57.22;536.46;2.5;242;9.05;-43.67;-42.04
T;2;57.238;536.5;2.7;285;9.05;-44.46;-42.48
T;2;57.256;536.54;2.6;342;9.05;-42.11;-41.17
T;2;57.274;536.58;2.8;317;9.05;-30.51;-34.73
T;2;57.292;536.62;2.5;291;9.05;-26.05;-32.25
T;2;57.31;536.66;2.2;337;9.01;-27.36;-32.98
T;2;57.328;536.7;3.1;318;8.96;-27.65;-33.14
T;2;57.346;536.74;2.6;358;8.96;-31.74;-35.41
T;2;57.364;536.78;1.6;349;8.96;-43.19;-41.77
T;2;57.382;536.82;0.8;346;9.02;-64.35;-53.53
T;2;57.4;536.86;0.7;351;9.05;-83.47;-64.15
T;2;57.418;536.9;0.8;337;9.05;-89.7;-67.61
T;2;57.436;536.94;0.7;72;9.05;-94.22;-70.12
T;2;57.454;536.98;1.1;80;9.05;-96.54;-71.41
T;2;57.472;537.02;1.3;94;9.05;-103.14;-75.08
T;2;57.491;537.06;1.2;95;9.05;-105.86;-76.59
T;2;57.509;537.1;1.4;107;9.05;-109.32;-78.51
T;2;57.527;537.14;1.8;114;9.05;-111.15;-79.53
T;2;57.545;537.18;2.2;124;9.05;-111.32;-79.62
T;2;57.563;537.22;2;131;9.05;-107.05;-77.25
T;2;57.581;537.26;3.1;139;9.05;-88.13;-66.74
T;2;57.599;537.3;6;138;9.05;-76.09;-60.05
T;2;57.617;537.34;4.4;154;9.14;-58.11;-50.06
T;2;57.635;537.38;3.7;198;9.05;-50.67;-45.93
T;2;57.653;537.42;3.1;211;9.05;-43.44;-41.91
T;2;57.671;537.46;2.8;249;9.05;-43.71;-42.06
T;2;57.689;537.5;2.8;270;9.05;-43.13;-41.74
T;2;57.707;537.54;3.3;264;9.05;-40.65;-40.36
T;2;57.725;537.58;3.1;286;9.05;-33.29;-36.27
T;2;57.743;537.62;2.9;283;9.05;-25.08;-31.71
T;2;57.761;537.66;2.5;329;9.05;-21.71;-29.84
T;2;57.779;537.7;2.5;338;8.96;-26.45;-32.47
T;2;57.797;537.74;2.1;341;8.96;-32.31;-35.73
T;2;57.815;537.78;1.2;346;8.96;-42.65;-41.47
T;2;57.833;537.82;1.1;338;8.99;-63.72;-53.18
T;2;57.851;537.86;0.8;8;9.05;-80.5;-62.5
T;2;57.869;537.9;1.2;58;9.05;-89.32;-67.4
T;2;57.887;537.94;1;103;9.05;-91.12;-68.4
T;2;57.905;537.98;1.3;81;9.05;-97.42;-71.9
T;2;57.923;538.02;1.6;75;9.05;-100.57;-73.65
T;2;57.941;538.06;1.6;79;9.05;-105.45;-76.36
T;2;57.959;538.1;2.4;72;9.05;-109.03;-78.35
T;2;57.977;538.14;2.4;85;9.05;-112.27;-80.15
T;2;57.995;538.18;1.7;87;9.05;-113.42;-80.79
T;2;58.013;538.22;2.5;92;9.05;-112.94;-80.52
T;2;58.031;538.26;3;125;9.05;-91.59;-68.66
T;2;58.049;538.3;5.2;137;9.05;-77.39;-60.77
T;2;58.068;538.34;4.7;147;9.05;-59.62;-50.9
T;2;58.086;538.38;3.8;166;9.05;-44.77;-42.65
T;2;58.104;538.42;3.1;188;9.05;-41.24;-40.69
T;2;58.122;538.46;2;153;9.05;-37.3;-38.5
T;2;58.14;538.5;1.1;124;9.05;-34.04;-36.69
T;2;58.158;538.54;1.8;104;9.05;-30.95;-34.97
T;2;58.176;538.58;2.2;342;9.05;-24.99;-31.66
T;2;58.194;538.62;2.6;342;9.05;-26.99;-32.77
T;2;58.212;538.66;1.9;27;8.99;-19.23;-28.46
T;2;58.23;538.7;2.6;27;8.96;-21.44;-29.69
T;2;58.248;538.74;2.5;17;8.96;-30.24;-34.58
T;2;58.266;538.78;1.4;23;8.96;-44.91;-42.73
T;2;58.284;538.82;0.8;34;8.99;-67.49;-55.27
T;2;58.302;538.86;1.1;10;9.05;-81.65;-63.14
T;2;58.32;538.9;1.2;35;9.05;-87.68;-66.49
T;2;58.338;538.94;1.1;72;9.05;-94.02;-70.01
T;2;58.356;538.98;1.2;81;9.05;-93.69;-69.83
T;2;58.374;539.02;1.3;61;9.05;-101.9;-74.39
T;2;58.392;539.06;1.1;66;9.05;-104.49;-75.83
T;2;58.41;539.1;1.5;70;9.05;-108.09;-77.83
T;2;58.428;539.14;1.8;77;9.05;-110.85;-79.36
T;2;58.446;539.18;1.8;63;9.05;-115.11;-81.73
T;2;58.464;539.22;1.9;72;9.05;-108.44;-78.02
T;2;58.482;539.26;2.8;103;9.05;-88.47;-66.93
T;2;58.5;539.3;4.4;130;9.05;-76.65;-60.36
T;2;58.518;539.34;4.5;151;9.05;-56.65;-49.25
T;2;58.536;539.38;3.4;184;9.05;-49.63;-45.35
T;2;58.554;539.42;2.4;169;9.05;-42.5;-41.39
T;2;58.572;539.46;2.2;249;9.05;-40.85;-40.47
T;2;58.59;539.5;1.8;324;9.05;-36.99;-38.33
T;2;58.608;539.54;1.1;74;9.05;-35.73;-37.63
T;2;58.626;539.58;3;298;9.02;-25.2;-31.78
T;2;58.644;539.62;2.2;355;8.96;-23.21;-30.67
T;2;58.662;539.66;2.8;329;8.96;-25.2;-31.78
T;2;58.68;539.7;2.2;0;8.96;-27.29;-32.94
T;2;58.698;539.74;2.6;5;8.96;-32.35;-35.75
T;2;58.716;539.78;1.6;349;8.96;-44.77;-42.65
T;2;58.734;539.82;1.3;351;8.96;-64.95;-53.86
T;2;58.752;539.86;0.9;7;9.01;-82.59;-63.66
T;2;58.77;539.9;1.3;36;9.05;-89.68;-67.6
T;2;58.788;539.94;1.4;51;9.05;-95.51;-70.84
T;2;58.806;539.98;1;72;9.05;-101.29;-74.05
T;2;58.824;540.02;1.1;68;9.05;-102.78;-74.88
T;2;58.842;540.06;1.1;73;9.05;-104.84;-76.02
T;2;58.86;540.1;1.5;82;9.05;-110.61;-79.23
T;2;58.878;540.14;1.5;82;9.05;-117.42;-83.01
T;2;58.896;540.18;1.4;78;9.05;-118.48;-83.6
T;2;58.914;540.22;1.7;83;9.05;-110.18;-78.99
T;2;58.932;540.26;1.9;103;9.05;-86.12;-65.62
T;2;58.95;540.3;3.9;125;9.05;-78.07;-61.15
T;2;58.969;540.34;4.1;146;9.05;-57.91;-49.95
T;2;58.987;540.38;2.9;-180;9.05;-45.54;-43.08
T;2;59.005;540.42;2.3;191;9.05;-42.92;-41.62
T;2;59.023;540.46;2.4;240;9.05;-40.7;-40.39
T;2;59.041;540.5;2.5;317;8.99;-42.66;-41.48
T;2;59.059;540.54;2.4;323;8.96;-39.48;-39.71
T;2;59.077;540.58;2.6;290;8.96;-30.8;-34.89
T;2;59.095;540.62;3.1;317;8.96;-25.37;-31.87
T;2;59.113;540.66;2.4;11;8.96;-23.91;-31.06
T;2;59.131;540.7;2.9;332;8.96;-25.02;-31.68
T;2;59.149;540.74;2.1;357;8.96;-28.57;-33.65
T;2;59.167;540.78;1.6;352;8.96;-41.89;-41.05
T;2;59.185;540.82;0.9;0;8.96;-65.09;-53.94
T;2;59.203;540.86;1.2;15;8.96;-80.86;-62.7
T;2;59.221;540.9;1.6;40;9.05;-86.01;-65.56
T;2;59.239;540.94;0.9;90;9.05;-95.62;-70.9
T;2;59.257;540.98;0.8;83;9.05;-99.13;-72.85
T;2;59.275;541.02;1.1;66;9.05;-104.31;-75.73
T;2;59.293;541.06;1.1;61;9.03;-110.7;-79.28
T;2;59.311;541.1;1.6;82;8.96;-113.93;-81.07
T;2;59.329;541.14;2;87;8.96;-117.81;-83.23
T;2;59.347;541.18;1.6;110;8.99;-111.68;-79.82
T;2;59.365;541.22;2;93;8.99;-106.26;-76.81
T;2;59.383;541.26;4.3;112;9.04;-91.64;-68.69
T;2;59.401;541.3;5.9;123;9.05;-78.77;-61.54
T;2;59.419;541.34;4;139;9.05;-60.63;-51.46
T;2;59.437;541.38;2.7;173;9.05;-46.75;-43.75
T;2;59.455;541.42;2.5;169;9.05;-40.83;-40.46
T;2;59.473;541.46;2.5;230;9.01;-43.13;-41.74
T;2;59.491;541.5;2.8;256;8.96;-45.49;-43.05
T;2;59.509;541.54;2.6;315;8.96;-42.7;-41.5
T;2;59.527;541.58;2.7;308;8.96;-30.91;-34.95
T;2;59.545;541.62;2.3;326;8.96;-29.22;-34.01
T;2;59.563;541.66;2.2;345;8.96;-25.49;-31.94
T;2;59.581;541.7;2.2;11;8.96;-21.48;-29.71
T;2;59.599;541.74;2.4;25;8.96;-29.54;-34.19
T;2;59.617;541.78;1.1;17;8.96;-42.21;-41.23
T;2;59.635;541.82;0.7;352;8.96;-65.06;-53.92
T;2;59.653;541.86;0.9;18;8.96;-80.73;-62.63
T;2;59.671;541.9;1;16;9.02;-87.63;-66.46
T;2;59.689;541.94;0.8;106;9.05;-91.14;-68.41
T;2;59.707;541.98;1.2;90;9.05;-98.97;-72.76
T;2;59.725;542.02;1.1;90;9.05;-101.24;-74.02
T;2;59.743;542.06;1.6;94;9.05;-107.28;-77.38
T;2;59.761;542.1;1.3;108;9.05;-106.56;-76.98
T;2;59.779;542.14;1.3;76;8.99;-111.66;-79.81
T;2;59.797;542.18;1.7;83;9.02;-116.03;-82.24
T;2;59.815;542.22;2.8;96;9.05;-115.49;-81.94
T;2;59.833;542.26;4.6;114;9.05;-98.57;-72.54
T;2;59.851;542.3;5.5;129;9.05;-76.04;-60.02
T;2;59.869;542.34;3.5;153;9.05;-54.29;-47.94
T;2;59.887;542.38;2.9;178;9.05;-46.43;-43.57
T;2;59.905;542.42;2.4;189;9.05;-41.78;-40.99
T;2;59.923;542.46;2.3;231;9.05;-40.63;-40.35
T;2;59.941;542.5;2.8;295;9.02;-44.16;-42.31
T;2;59.959;542.54;2.7;299;8.96;-32.53;-35.85
T;2;59.977;542.58;2.5;6;8.96;-29.97;-34.43
T;2;59.995;542.62;2.3;293;8.96;-25.28;-31.82
T;2;60.013;542.66;2.9;348;8.96;-23.26;-30.7
T;2;60.031;542.7;2.3;7;8.96;-18.36;-27.98
T;2;60.049;542.74;2.1;12;8.96;-27.67;-33.15
T;2;60.067;542.78;1.3;0;8.96;-39.55;-39.75
T;2;60.085;542.82;0.8;0;8.96;-75.57;-59.76
T;2;60.103;542.86;1;0;8.99;-82.7;-63.72
T;2;60.121;542.9;1.5;32;9.05;-87.43;-66.35
T;2;60.139;542.94;0.9;60;9.05;-93.12;-69.51
T;2;60.157;542.98;1;54;9.05;-94.4;-70.22
T;2;60.175;543.02;1.3;51;9.05;-102.77;-74.87
T;2;60.193;543.06;1.2;76;9.05;-105.39;-76.33
T;2;60.211;543.1;2.1;79;9.05;-108.96;-78.31
T;2;60.229;543.14;1.8;106;9.05;-111.53;-79.74
T;2;60.247;543.18;1.9;99;9.05;-111.28;-79.6
T;2;60.265;543.22;2.8;84;9.05;-108.89;-78.27
T;2;60.283;543.26;4.4;111;9.05;-91.46;-68.59
T;2;60.301;543.3;6.3;129;9.05;-78.75;-61.53
T;2;60.319;543.34;4.9;147;9.05;-59.24;-50.69
T;2;60.337;543.38;3.6;169;9.05;-49.5;-45.28
T;2;60.355;543.42;2.9;187;9.05;-40.65;-40.36
T;2;60.373;543.46;2.6;215;9.05;-43.53;-41.96
T;2;60.391;543.5;2.4;288;8.99;-41.44;-40.8
T;2;60.409;543.54;2.3;328;8.96;-34.83;-37.13
T;2;60.427;543.58;2.7;0;8.96;-28.3;-33.5
T;2;60.445;543.62;2.3;356;8.96;-21.77;-29.87
T;2;60.463;543.66;2.5;28;8.96;-23.53;-30.85
T;2;60.481;543.7;2.6;15;8.96;-26.97;-32.76
T;2;60.499;543.74;3.2;29;8.96;-32.22;-35.68
T;2;60.517;543.78;1.7;36;8.96;-44.63;-42.57
T;2;60.535;543.82;0.9;27;8.96;-67.67;-55.37
T;2;60.553;543.86;1.2;27;8.99;-82.25;-63.47
T;2;60.571;543.9;1.5;34;9.05;-87.43;-66.35
T;2;60.589;543.94;0.9;63;9.05;-94.32;-70.18
T;2;60.607;543.98;0.7;56;9.05;-96.88;-71.6
C;2;60.625;544.02;0;0;0;-459.67;-273.15
C;2;60.643;544.06;0;0;0;-459.67;-273.15
C;2;60.661;544.1;0;0;0;-459.67;-273.15
C;2;60.679;544.14;0;0;0;-459.67;-273.15
C;2;60.697;544.18;0;0;0;-459.67;-273.15
C;2;60.715;544.22;0;0;0;-459.67;-273.15
C;2;60.733;544.26;0;0;0;-459.67;-273.15
C;2;60.751;544.3;0;0;0;-459.67;-273.15
C;2;60.769;544.34;0;0;0;-459.67;-273.15
C;2;60.787;544.38;0;0;0;-459.67;-273.15
C;2;60.805;544.42;0;0;0;-459.67;-273.15
C;2;60.823;544.46;0;0;0;-459.67;-273.15
C;2;60.841;544.5;0;0;0;-459.67;-273.15
C;2;60.859;544.54;0;0;0;-459.67;-273.15
C;2;60.877;544.58;0;0;0;-459.67;-273.15
C;2;60.895;544.62;0;0;0;-459.67;-273.15
C;2;60.913;544.66;0;0;0;-459.67;-273.15
C;2;60.931;544.7;0;0;0;-459.67;-273.15
C;2;60.949;544.74;0;0;0;-459.67;-273.15
C;2;60.967;544.78;0;0;0;-459.67;-273.15
C;2;60.985;544.82;0;0;0;-459.67;-273.15
C;2;61.003;544.86;0;0;0;-459.67;-273.15
C;2;61.021;544.9;0;0;0;-459.67;-273.15
C;2;61.039;544.94;0;0;0;-459.67;-273.15
C;2;61.057;544.98;0;0;0;-459.67;-273.15
C;2;61.075;545.02;0;0;0;-459.67;-273.15
C;2;61.093;545.06;0;0;0;-459.67;-273.15
C;2;61.111;545.1;0;0;0;-459.67;-273.15
C;2;61.129;545.14;0;0;0;-459.67;-273.15
C;2;61.147;545.18;0;0;0;-459.67;-273.15
C;2;61.165;545.22;0;0;0;-459.67;-273.15
C;2;61.183;545.26;0;0;0;-459.67;-273.15
C;2;61.201;545.3;0;0;0;-459.67;-273.15
C;2;61.219;545.34;0;0;0;-459.67;-273.15
C;2;61.237;545.38;0;0;0;-459.67;-273.15
C;2;61.255;545.42;0;0;0;-459.67;-273.15
C;2;61.273;545.46;0;0;0;-459.67;-273.15
C;2;61.291;545.5;0;0;0;-459.67;-273.15
C;2;61.309;545.54;0;0;0;-459.67;-273.15
C;2;61.327;545.58;0;0;0;-459.67;-273.15
C;2;61.345;545.62;0;0;0;-459.67;-273.15
C;2;61.363;545.66;0;0;0;-459.67;-273.15
C;2;61.381;545.7;0;0;0;-459.67;-273.15
C;2;61.398;545.74;0;0;0;-459.67;-273.15
C;2;61.417;545.78;0;0;0;-459.67;-273.15
