True (T) or No Data (C);Year;Solar Longitude;Sol;Wind Speed m/sec;Wind Direction;Pressure mb;Temp F;Temp C
T;1;120.952;7.18;3.3;95;7.73;-111.14;-79.52
T;1;120.972;7.22;3.9;96;7.73;-115.83;-82.13
T;1;120.991;7.26;5.8;105;7.73;-104.58;-75.88
T;1;121.01;7.3;7.9;118;7.73;-85.47;-65.26
T;1;121.03;7.34;2.5;148;7.73;-55.39;-48.55
T;1;121.049;7.38;3.7;144;7.73;-55.5;-48.61
T;1;121.068;7.42;3.3;198;7.73;-46.23;-43.46
T;1;121.088;7.46;3.3;68;7.66;-40.79;-40.44
T;1;121.107;7.5;2.6;95;7.63;-40.29;-40.16
T;1;121.126;7.54;4.2;326;7.64;-34.55;-36.97
T;1;121.145;7.58;2.2;300;7.64;-29.58;-34.21
T;1;121.165;7.62;2;61;7.64;-27.11;-32.84
T;1;121.184;7.66;2.8;40;7.64;-26.84;-32.69
T;1;121.203;7.7;2.7;349;7.64;-27.76;-33.2
T;1;121.223;7.74;3;4;7.62;-29.16;-33.98
T;1;121.242;7.78;1.9;16;7.64;-44.36;-42.42
T;1;121.261;7.82;1.4;34;7.73;-68.96;-56.09
T;1;121.28;7.86;1.5;35;7.75;-80.79;-62.66
T;1;121.3;7.9;1.6;35;7.73;-84.62;-64.79
T;1;121.319;7.94;1.2;52;7.73;-89.81;-67.67
T;1;121.338;7.98;1;49;7.73;-93.5;-69.72
T;1;121.358;8.02;1.2;48;7.73;-97.31;-71.84
T;1;121.377;8.06;1.5;70;7.73;-103.34;-75.19
T;1;121.396;8.1;1.6;57;7.74;-108.47;-78.04
T;1;121.416;8.14;2.1;59;7.73;-112.29;-80.16
T;1;121.435;8.18;3.3;88;7.66;-115.67;-82.04
T;1;121.454;8.22;4.8;102;7.63;-117.89;-83.27
T;1;121.474;8.26;5.8;115;7.66;-107.27;-77.37
T;1;121.493;8.3;5.2;140;7.73;-80.12;-62.29
T;1;121.512;8.34;3.3;169;7.73;-57.1;-49.5
T;1;121.532;8.38;4.2;-180;7.73;-58.63;-50.35
T;1;121.551;8.42;4.5;211;7.73;-51.56;-46.42
T;1;121.57;8.46;2.2;31;7.64;-45.38;-42.99
T;1;121.59;8.5;1.8;347;7.62;-43.11;-41.73
T;1;121.609;8.54;3.2;255;7.64;-39.59;-39.77
T;1;121.628;8.58;3.3;44;7.64;-32.28;-35.71
T;1;121.648;8.62;3;31;7.64;-29.11;-33.95
T;1;121.667;8.66;2.4;292;7.64;-26.72;-32.62
T;1;121.686;8.7;1.5;346;7.64;-30.5;-34.72
T;1;121.706;8.74;0.8;36;7.63;-31.29;-35.16
T;1;121.725;8.78;0.9;14;7.64;-45.6;-43.11
T;1;121.744;8.82;0.8;353;7.67;-70.38;-56.88
T;1;121.764;8.86;0.8;31;7.71;-80.07;-62.26
T;1;121.783;8.9;1;79;7.73;-82.98;-63.88
T;1;121.802;8.94;1.6;75;7.73;-91.32;-68.51
T;1;121.822;8.98;2.5;72;7.73;-96.05;-71.14
T;1;121.841;9.02;2.6;70;7.73;-98.97;-72.76
T;1;121.86;9.06;1.1;56;7.73;-104.15;-75.64
T;1;121.88;9.1;0.4;31;7.68;-108.9;-78.28
T;1;121.899;9.14;1.6;86;7.64;-113.19;-80.66
T;1;121.918;9.18;4.1;103;7.64;-113.49;-80.83
T;1;121.938;9.22;4.3;110;7.62;-118.88;-83.82
T;1;121.957;9.26;3.5;128;7.64;-103.68;-75.38
T;1;121.976;9.3;4.2;164;7.73;-79.94;-62.19
T;1;121.996;9.34;6.2;209;7.73;-66.59;-54.77
T;1;122.015;9.38;6.5;216;7.72;-68.08;-55.6
T;1;122.034;9.42;4.7;235;7.73;-55.1;-48.39
T;1;122.054;9.46;4.3;264;7.64;-45.45;-43.03
T;1;122.073;9.5;3.3;284;7.64;-41.78;-40.99
T;1;122.092;9.54;3.5;272;7.64;-40.32;-40.18
T;1;122.112;9.58;3.9;47;7.64;-31.11;-35.06
T;1;122.131;9.62;4.3;20;7.64;-27.04;-32.8
T;1;122.15;9.66;4;306;7.64;-28.88;-33.82
T;1;122.17;9.7;3.1;304;7.64;-31.13;-35.07
T;1;122.189;9.74;3.5;346;7.64;-30.89;-34.94
T;1;122.209;9.78;1.4;335;7.64;-45.51;-43.06
T;1;122.228;9.82;1;328;7.64;-68.15;-55.64
T;1;122.247;9.86;1.4;325;7.64;-77.49;-60.83
T;1;122.267;9.9;1.6;338;7.66;-82.75;-63.75
T;1;122.286;9.94;1.6;45;7.71;-94.52;-70.29
T;1;122.305;9.98;2.1;68;7.71;-99.98;-73.32
T;1;122.325;10.02;2.3;69;7.67;-102.62;-74.79
T;1;122.344;10.06;1.5;70;7.64;-108.4;-78
T;1;122.363;10.1;1.6;75;7.64;-111.84;-79.91
T;1;122.383;10.14;2;78;7.64;-114.79;-81.55
T;1;122.402;10.18;1.9;87;7.64;-113.58;-80.88
T;1;122.421;10.22;2.1;121;7.65;-110.02;-78.9
T;1;122.441;10.26;3;167;7.66;-95.01;-70.56
T;1;122.46;10.3;4.7;196;7.66;-80.41;-62.45
T;1;122.48;10.34;6.5;209;7.64;-69.81;-56.56
T;1;122.499;10.38;5.8;210;7.64;-67.23;-55.13
T;1;122.518;10.42;5.2;243;7.66;-54.94;-48.3
T;1;122.538;10.46;4.8;274;7.64;-47.13;-43.96
T;1;122.557;10.5;6.1;266;7.64;-40.47;-40.26
T;1;122.576;10.54;3.9;328;7.64;-37.61;-38.67
T;1;122.596;10.58;5.1;303;7.64;-31.67;-35.37
