# Gothic word list, compiled by Dr. Moritz Heyne, published in 1896
# Herkunft: goth_heyne.txt (Dr. Moritz Heyne, 1896), ASCII
# bearbeitet mit Lotus WordPro 9.7, Text-Importeinstellung: Codepage 1252,
# Wagenrücklauf nach jedem Absatz
# 1. Durchgehen: 03/07.2007 .. 05/07.2007
# 2. Durchgehen inkl. Streichung falscher Wörter 06/07.2007 .. 08.07.2007
# An asterisk * denotes a reconstructed word which has not been testified.
*redan|beraten, überlegen, s. faura-ga-, ga-, und-, un-redan
*rehsns|Bestimmung, s. ga-rehsns
*reisan|aufstehen, s. ur-reisan
*reks|belagert, eingeschlossen
*riggws|ungeheuer? s. un-mana-riggws
*rists|das Aufstehen, im Comp. ur-rists
*riuds|ehrbar, in ga-riuþs
*rodeins|s. bi-rodeins
*rugks|s. ur-rugks
*rumnan|geräumig werden, im Comp. us- (ur-) rumnan
*runains|Beratschlagung, s. bi-runains
*runi|s. ga-runi
*sahtjan|sahtnan, s. ga-fri-sahtjan, ga-fri-sahtnan
*sahts|vgl. fri-, ga-, in-sahts
*sailjan|seilen, an Seile binden, s. in-sailjan
*sams|s. lustu-sams
*sateins|Setzung, Pflanzung
*sauleins|Befleckung, s. bi-sauleins
*sauljan|beflecken, s. bi-sauljan
*saulnan|befleckt werden, s. bi-saulnan
*seiþs|vgl. þana-seiþs
*sets|s. anda-sets
*seþs|Saat, s. mana-seþs
*sibjis|friedlich, einig, s. un-sibjis
*sibjon|versöhnen
*silan|schweigen
*sindo|s. us-sindo
*sinþa|Gehender, Ziehender, in den Comp. ga-sinþa (-sinþja), miþ-ga-sinþa
*siuneis|Schauer, Seher, im Comp. silba-siuneis
*siuns|s. ana-siuns
*skadweins|Beschattung, s. ga-skadweins
*skadwjan|Schatten geben, im Comp. ufar-skadwjan
*skafts|Schöpfung, Geschöpf
*skaideins|Scheidung, im Comp. ga-skaideins
*skaidnan|geschieden werden, s. ga-skaidnan
*skapjan|schaffen
*skarjan|? s. us-skarjan
*skaunei|Schönbheit, Wolgestalt
*skauro|Schaufel
*skawjan|vorsichtig machen
*skaws|der schaut, sich umsieht, sich vorsieht, s. us-skaws
*skeirjan|erklären, s. ga-skeirjan
*skiuban|schieben, s. af-skiuban
*skreitan|reiszen, spalten, s. dis-skreitan
*skritnan|zerrissen werden
*skuldr?|(?), im Comp. spai-skuldr
*slaupjan|abstreifen, s. af-slaupjan
*slauþjan|sluþnan, s. af-sl
*sleiþjan|beschädigen
*slindan|schlingen
*smeitan|schmeiszen, schmieren, s. bi-, ga-smeitan
*smiþa|Schmid
*smiþon|schmiden, s. ga-smiþon
*snarpjan|nagen, s. at-snarpjan
*soks|s. un-and-soks
*soþjan|sättigen
*staggan?|? stechen, s. us-staggan
*stagqjan|etwas stoszen
*stakeins|das Stecken, die Steckung, im Comp. hleþra-stakeins
*stald|s. and-stald
*staldan|besitzen, s. and-ga-staldan
*stass|Stehen, Stand
*stasseis|Steher
*staurknan|erstarren, verdorren, s. ga-staurknan
*staurran|starren
*staþa|Gestell im Comp. lukarna-staþa
*staþjis|s. anda-staþjis
*stodjan|s. ana-stodan, du-stodjan
*stojans|s. ga-stojans
*stoþan|s. ga-stoþan
*stoþs|s. un-ga-stoþs
*stugq|Stosz, im Comp. bi-stugq
*suljan|gründen, s. ga-suljan
*sunjane|in bi-sunjane
*swaggwjan|schwankend machen
*swairban|wischen, s. af-, bi-swairban
*swalleins|s. uf-swalleins
*swara|Schwörer
*sweipains|s. midja-sweipains
*swogjan|seufzen, s. ga-, uf-swogjan
*tairan|reiszen, s. dis-, ga-tairan
*tals|fügsam, im Comp. un-tals
*tamjan|zähmen, s. ga-tamjan
*tani|Zeichen
*tarhjan|auszeichnen, s. ga-tarhjan
*tarnjan|verhüllen, s. ga-tarnjan
*tass|geregelt, geordnet, s. un-ga-tass
*tauhts|s. us-tauhts
*taura|s. ga-taura
*taurnan|zerrissen werden, in af-, dis-, ga-taurnan
*taurþs|Zerreiszung, s. ga-taurþs
*tehund|zehn, -zig, s. sibun-, ahtau-, niun-, taihun-tehund
*teihan|zeigen, s. faura-ga-, ga-teihan
*temiba|ziemand, s. ga-temiba
*tewjan|ordnen, s. ga-tewjan
*tilon|zielen, fügen
*timan|ziemen: s. ga-timan
*timrjo|Gebäude, s. ga-timrjo
*tojis|tuend, in den Compos. fulla-, ubil-tojis
*trimpan|treten, s. ana-trimpan
*trusgjan|pfropfen
*trusnjan|sprengen, s. ufar-trusnjan
*tundi|s. aihwa-tundi
*wadjon|verpfänden, s. ga-wadjon
*wahs|tadelhaft? s. un-wahs
*wahsts|Wachstum, s. us-wahsts
*waipjan|winden, im Comp. faur-waipjan
*wairpjan|wairþnan, s. ga-ga-w
*wairþeigs|s. ga-wairþeigs
*wairþi|s. ga-wairþi
*wairþs|-wärtig, s. ana-, and-, jaind-, wiþra-wairþs
*wakjan|wecken, im Compos. us-wakjan
*waknan|erweckt werden
*walwjan|wälzen, s. af-, at-, faur-walwjan
*wammei|Beflecktheit
*wammjan|beflecken
*wamms|befleckt
*wardjan|s. fra-wardjan
*wards|Wärter, Wächter
*wargjan|ächten, in ga-wargjan
*wargs|geächteter Missetäter, s. launa-wargs
*waurdei|in aglaiti-, dwala-, filu, lausa-waurdei
*waurdi|in anda-, ga-, lausa-waurdi
*waurdjan|in and-, filu-, abil-waurdjan
*waurhts|Werk, Handlung
*waurki|in ga-waurki, faihu-ga-waurki
*waurpa|s. uswaurpa
*waurstwo|Arbeiterin
*weis|(gen. weisis), weise, klug, s. fulla-, hindar-, un-, unfaur-, un-hindar-weis
*weisei|in hindar-weisei
*weisjan|s. fulla-, ga-fulla-weisjan
*weison|besuchen, s. ga-weison
*weit|s. fra-, id-weit
*weitan|sehen, s. fra-, in-weitan
*weitjan|s. fair-, id-weitjan
*weitl|s. fair-weitl
*wena|der hoffende, im Comp. us-wena
*weniggo|s. un-weniggo
*werei|Zustand der Wahrheit, Aufrichtigkeit, im Comp. alla-werei
*werjan|s. tuz- un-werjan
*wesei|s. balwa-wesei
*wida|Fessel, im Compos. kuna-wida
*widan|binden, s. ga-, in-widan
*wigan|bewegen, schütteln
*wiljis|Willen habend, in ga-, silba-wiljis
*windan|winden, s. bi-, du-, ga-, us-windan
*windiþa|s. in-windiþa
*winds|s. in-winds
*winþjan|worfeln s. dis-winþjan
*wis|(gen. wisis), gewis, s. un-wis
*wiss|Band, Verbindung
*wissei|s. miþ-wissei
*wita|Wisser
*witains|Beobachtung, im Comp. at-witains
*witi|Wissen
*wizneigs|s. ga-wizneigs
*wizns|Leben, Befinden, in anda-, waila-wizns
*wleizn|Gesicht, s. anda-wleizn
*wrisqan|Frucht bringen, s. ga-wrisqan
*wunands|sich freuend, s. un-wunands
*wundon|verwunden, s. ga-wundon
*þagki|s. ga-þagki
*þahts|s. anda-þahts
*þairsan|dürr sein
*þanjan|dehnen, s. uf-þanjan
*þarban|darben, s. ga-þarban
*þaurbs|enthaltsam, s. ga-þaurbs
*þaursnan|dürr werden
*þinsan|ziehen, s. at-þinsan
*þiwan|dienstbar machen, s. ana-, ga-þiwan
*þlahsnan|erschrocken werden, s. ga-þlahsnan
*þlaihan|liebkosen, trösten, s. ga-þlaihan
*þlaihts|Tröstung, s. ga-þlaihts
*þraihns|Fülle
*þrask|Tenne, s. ga-þrask
*þriutan|beschweren, s. us-þriutan
*þuhts|denkend, sich dünkend, in den Comp. hauh-, mikil-þuhts
Abeileni|(die Landschaft) Abilene
Abiaþar|Abiathar
Abija|Abia
Abraham|Abraham
Adam|Adam
Addei|Addi, gen. Addeins
Addin|Addin
Adoneikam|Adonika
Agar|Agar
Agustus|Augustus
Aharon|Aaron: gen. Aharons
Aibair|Eber, Heber
Aiddua|Iedua
Aieira|Erae
Aifaisius|Ephesier, Einwohner der Stadt Ephesus
Aifaiso|Ephesus: in Aifaison
Ailam|Elam
Aileiaizair|Eliezer
Aileiakeim|Eliakim
Aileisabaiþ|Elisabeth
Ailul|jüd. Monatsname
Aimmeira|Emmer
Ainnaa|Enaah
Ainok|Enoch
Ainos|Enos, Henos
Aiodia|Evodia
Aipafras|Epaphras
Aipafraudeitus|Epaphroditus
Airastus|Erastus
Airmodam|Elmodam
Airmogaineis|Hermogenes
Aiwnaika|Eunike
Aiwwa|Eva
Aizaikeia|Ezechia
Aizleim|Esli, Hesli
Aizor|Esrom
Akaja|Axaia, Achaja
Akajus|Achäer, Einwohner von Achaja
Akaíja|s. Akaja
Akaíjus|s. Akajus
Akaíkus|Achaikus
Akyla|Aquila
Alaiksandrus|Alexander
Alamod|Alamod
Alfaius|Alphäus
Ameinadab|Aminadab
Ammo|Amos
Ananeias|Ananias
Ananias|s. Ananeias
Anaþoþ|Anathoth
Andraias|Andreas
Andrias|s. Andraias
Anna|Anna
Annas|Annas
Anneiseifaurus|Onesiphorus
Ano|Ano (Ono)
Antiaukia|Antiochia
Antiokja|s. Antiaukia
Apaullo|Apollo
Arabia|Arabien
Araistarkus|Aristarchus
Araitas|Aretas
Aram|Aram
Areimaþaia|Arimathäa
Arfaksad|Arphaxad
Arkippus|Archippus
Artarksairksus|Artaxerxes
Asaf|Asaph
Aser|Aser
Asgad|Asgad
Asia|Asien
Asmoþ|Asmoth
Assaum|Assum
Ateir|s. Ater
Ater|Ater
Aunisimus|Onesimus
Aþeineis|Athen
Ba|enclit. Partikel, allein
Babaw|Babai
Bagaui|Baguai (Beguai), gen. Bagauis
Baiailzaibul|Beelzebul
Bailiam|Belial
Bainaiamein|Benjamin
Bainiamein|s. Bainaiamein
Bairauja|die Stadt Beröa
Baiþil|Bethel
Baiþlaem|Bethlahem
Baiþsaídan|s. Beþsaeidan
Banaui|Banea (Bani)
Barabba|Barabbas
Barabbas|s. Barabba
Barakeias|Barachias
Barnabas|Barnabas
Barteimaius|Bartimäus
Barþaulaumaius|Bartholomäus
Barþulomaius|s. Barþaulaumaius
Bassus|Bassu
Batwins|Batwin
Bauanairgais|Fremdw., Boanerges (Donnerkinder)
Bauaus|Booz
Beroþ|Beroth
Beþania|Bethanien
Beþla|Bethlahem
Beþsaeidan|Bethsaida
Beþsfagei|Bethphage
Daikapaulis|Dekapolis (zehn Städte), gen. Daikapaulaios
Dalmatia|Dalmatien
Damasko|Damaskus
Dauriþaius|Dorotheus
Daweid|David
Demas|Demas
Didimus|Didimus
Ei|1. dasz, damit; 2. Fragpart., ob; 3. Relativpartikel: a. an, Pronomina und Partikeln gehängt, um Relative zu bilden, z.B. saei, þatei, þeei, ikei, juzei, swaei, miþþanei u. A.; b. auch alleinstehtend, aber auf ein vorhergehendes Demonstrativ sich beziehend und statt saei, soei, þatei welcher, welche, welches
Eiaireiko|s. Iaireiko
Eikaunio|Iconium
Eiram|Eram
Esaeias|Isaias
